"","X","transect","start_x","start_y","direction","x","y","specifiedInclProb","AdjustedInclProb","cluster","x.1","y.1","longitude","latitude"
"1",1,1,335333.191138533,6285665.78059977,98.1818181818182,335209.463458298,6285683.56995456,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.49062239096","-33 33.3476550983401","115.13.294E","33.33.209S"
"2",2,1,335333.191138533,6285665.78059977,98.1818181818182,335219.774098317,6285682.08750832,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.4972672896799","-33 33.3485525131378","115.13.298E","33.33.209S"
"3",3,1,335333.191138533,6285665.78059977,98.1818181818182,335230.084738337,6285680.60506209,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5039121909203","-33 33.3494499220683","115.13.302E","33.33.210S"
"4",4,1,335333.191138533,6285665.78059977,98.1818181818182,335240.395378357,6285679.12261586,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5105570948004","-33 33.3503473251182","115.13.306E","33.33.210S"
"5",5,1,335333.191138533,6285665.78059977,98.1818181818182,335250.706018376,6285677.64016963,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5172020012008","-33 33.3512447222878","115.13.310E","33.33.211S"
"6",6,1,335333.191138533,6285665.78059977,98.1818181818182,335261.016658396,6285676.1577234,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5238469101799","-33 33.35214211359","115.13.314E","33.33.211S"
"7",7,1,335333.191138533,6285665.78059977,98.1818181818182,335271.327298415,6285674.67527716,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5304918216803","-33 33.3530394990118","115.13.318E","33.33.212S"
"8",8,1,335333.191138533,6285665.78059977,98.1818181818182,335281.637938435,6285673.19283093,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5371367357594","-33 33.3539368785598","115.13.322E","33.33.212S"
"9",9,1,335333.191138533,6285665.78059977,98.1818181818182,335291.948578455,6285671.7103847,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5437816524199","-33 33.3548342522338","115.13.326E","33.33.213S"
"10",10,1,335333.191138533,6285665.78059977,98.1818181818182,335302.259218474,6285670.22793847,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.55042657166","-33 33.355731620034","115.13.330E","33.33.213S"
"11",11,1,335333.191138533,6285665.78059977,98.1818181818182,335312.569858494,6285668.74549224,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5570714934205","-33 33.3566289819537","115.13.334E","33.33.214S"
"12",12,1,335333.191138533,6285665.78059977,98.1818181818182,335322.880498513,6285667.263046,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5637164177606","-33 33.357526338","115.13.338E","33.33.215S"
"13",13,1,335333.191138533,6285665.78059977,98.1818181818182,335333.191138533,6285665.78059977,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5703613446201","-33 33.358423688172","115.13.342E","33.33.215S"
"14",14,1,335333.191138533,6285665.78059977,98.1818181818182,335343.501778553,6285664.29815354,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5770062741203","-33 33.3593210324701","115.13.346E","33.33.216S"
"15",15,1,335333.191138533,6285665.78059977,98.1818181818182,335353.812418572,6285662.81570731,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5836512061399","-33 33.3602183708938","115.13.350E","33.33.216S"
"16",16,1,335333.191138533,6285665.78059977,98.1818181818182,335364.123058592,6285661.33326108,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.59029614074","-33 33.3611157034381","115.13.354E","33.33.217S"
"17",17,1,335333.191138533,6285665.78059977,98.1818181818182,335374.433698611,6285659.85081484,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.5969410778596","-33 33.3620130301082","115.13.358E","33.33.217S"
"18",18,1,335333.191138533,6285665.78059977,98.1818181818182,335384.744338631,6285658.36836861,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.6035860175597","-33 33.3629103509042","115.13.362E","33.33.218S"
"19",19,1,335333.191138533,6285665.78059977,98.1818181818182,335395.054978651,6285656.88592238,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.6102309598403","-33 33.3638076658259","115.13.366E","33.33.218S"
"20",20,1,335333.191138533,6285665.78059977,98.1818181818182,335405.36561867,6285655.40347615,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.6168759047005","-33 33.3647049748739","115.13.370E","33.33.219S"
"21",21,1,335333.191138533,6285665.78059977,98.1818181818182,335415.67625869,6285653.92102992,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.6235208520802","-33 33.365602278042","115.13.374E","33.33.219S"
"22",22,1,335333.191138533,6285665.78059977,98.1818181818182,335425.986898709,6285652.43858368,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.6301658020394","-33 33.3664995753359","115.13.378E","33.33.220S"
"23",23,1,335333.191138533,6285665.78059977,98.1818181818182,335436.297538729,6285650.95613745,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.6368107545199","-33 33.3673968667557","115.13.382E","33.33.220S"
"24",24,1,335333.191138533,6285665.78059977,98.1818181818182,335446.608178749,6285649.47369122,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.6434557096402","-33 33.3682941522961","115.13.386E","33.33.221S"
"25",25,1,335333.191138533,6285665.78059977,98.1818181818182,335456.918818768,6285647.99124499,0.00887210575967737,0.00887210575967737,"HPZ1","115 13.6501006672799","-33 33.3691914319619","115.13.390E","33.33.222S"
"26",26,2,334405.191138533,6286496.78059977,327.272727272727,334472.771240715,6286391.62390817,0.00887210575967737,0.00887210575967737,"HPZ2","115 13.0225456910402","-33 32.9578187588881","115.13.14E","33.32.575S"
"27",27,2,334405.191138533,6286496.78059977,327.272727272727,334467.139565533,6286400.3869658,0.00887210575967737,0.00887210575967737,"HPZ2","115 13.0190049637798","-33 32.9530263099361","115.13.11E","33.32.572S"
"28",28,2,334405.191138533,6286496.78059977,327.272727272727,334461.507890351,6286409.15002344,0.00887210575967737,0.00887210575967737,"HPZ2","115 13.0154642428805","-33 32.9482338594539","115.13.9E","33.32.569S"
"29",29,2,334405.191138533,6286496.78059977,327.272727272727,334455.876215169,6286417.91308107,0.00887210575967737,0.00887210575967737,"HPZ2","115 13.0119235283996","-33 32.9434414074419","115.13.7E","33.32.566S"
