"transect","x","y","direction","transect_inclusionProb"
1,57,102,65.4545454545455,0.000147512641833405
2,84,130,163.636363636364,0.000147512641833405
3,30,158,130.909090909091,0.000147512641833405
4,66,28,0,0.000147512641833405
5,79,56,261.818181818182,0.000147512641833405
6,43,139,32.7272727272727,0.000147512641833405
7,25,84,229.090909090909,0.000147512641833405
8,16,85,130.909090909091,0.000147512641833405
9,52,30,261.818181818182,0.000147512641833405
10,34,196,261.818181818182,0.000147512641833405
11,106,57,294.545454545455,0.000147512641833405
12,70,141,229.090909090909,0.000147512641833405
13,77,94,327.272727272727,0.000147512641833405
14,41,178,294.545454545455,0.000147512641833405
15,23,122,294.545454545455,0.000147512641833405
16,59,67,261.818181818182,0.000147512641833405
17,50,104,294.545454545455,0.000147512641833405
18,32,48,196.363636363636,0.000147512641833405
19,104,131,0,0.000147512641833405
20,28,172,130.909090909091,0.000147512641833405
21,64,116,163.636363636364,0.000147512641833405
22,19,60,130.909090909091,0.000147512641833405
23,91,144,229.090909090909,0.000147512641833405
24,37,97,327.272727272727,0.000147512641833405
25,73,42,327.272727272727,0.000147512641833405
