"transect","Easting","Northing","direction","transect_inclusionProb"
1,325829.273936845,6298422.88548791,294.545454545455,9.30275185300281e-05
2,336733.273936845,6291497.88548791,98.1818181818182,9.30275185300281e-05
3,358541.273936845,6295929.88548791,0,0.000301154970051332
4,350421.273936845,6290112.88548791,327.272727272727,0.000301154970051332
5,357613.273936845,6307840.88548791,196.363636363636,0.000151311412653736
6,343229.273936845,6285680.88548791,0,0.000301154970051332
7,333949.273936845,6285680.88548791,0,0.000151311412653736
8,323277.273936845,6294544.88548791,0,9.30275185300281e-05
9,330469.273936845,6300361.88548791,163.636363636364,9.30275185300281e-05
10,346245.273936845,6295929.88548791,0,0.000151311412653736
11,349957.273936845,6284295.88548791,130.909090909091,0.000301154970051332
12,333717.273936845,6281802.88548791,0,0.000301154970051332
13,340909.273936845,6287619.88548791,229.090909090909,0.000151311412653736
14,351813.273936845,6292051.88548791,98.1818181818182,0.000301154970051332
15,337197.273936845,6305347.88548791,163.636363636364,9.30275185300281e-05
16,361789.273936845,6306732.88548791,32.7272727272727,0.000301154970051332
17,354365.273936845,6297868.88548791,98.1818181818182,0.000151311412653736
18,350885.273936845,6300084.88548791,163.636363636364,0.000151311412653736
19,343461.273936845,6295652.88548791,32.7272727272727,0.000151311412653736
20,349029.273936845,6288173.88548791,32.7272727272727,0.000301154970051332
21,341837.273936845,6283741.88548791,163.636363636364,0.000301154970051332
22,338125.273936845,6289558.88548791,196.363636363636,0.000151311412653736
23,345317.273936845,6307286.88548791,294.545454545455,9.30275185300281e-05
24,327917.273936845,6287342.88548791,229.090909090909,0.000151311412653736
25,356917.273936845,6300638.88548791,65.4545454545455,0.000151311412653736
